config,adjusted_edge_jaccard,division_jaccard,proxy_score,div_tp,div_fp,div_fn,missed_gt_nodes,spurious_pred_nodes,edges_recovered,edges_fragmented,edges_lost_to_detection,wrong_association_edges,n_samples,seconds,overrides
ppTight5565,0.9286647911383695,0.3076923076923077,0.9594340219076003,4,1,8,63,182966,5541,131,79,0,8,1061.8783564567566,"{""MOTION_RELINK_TIGHT_PER_PREFIX"": {""44b6"": 5.5, ""6bba"": 6.5}}"
combo(ppTight5565+tight55+relaxed9),0.9284052277310026,0.3076923076923077,0.9591744585002334,4,1,8,65,182893,5537,134,80,0,8,1072.4478068351746,"{""MOTION_RELINK_RELAXED_UM"": 9.0, ""MOTION_RELINK_TIGHT_PER_PREFIX"": {""44b6"": 5.5, ""6bba"": 6.5}, ""MOTION_RELINK_TIGHT_UM"": 5.5}"
tight55,0.9283534712877309,0.3076923076923077,0.9591227020569617,4,1,8,63,182951,5540,132,79,0,8,1073.0603458881378,"{""MOTION_RELINK_TIGHT_UM"": 5.5}"
relaxed9,0.9269764932416186,0.2857142857142857,0.9555479218130472,4,2,8,66,182887,5533,136,82,0,8,1064.2930598258972,"{""MOTION_RELINK_RELAXED_UM"": 9.0}"
vw060,0.9266304627264574,0.2857142857142857,0.955201891297886,4,2,8,62,182920,5538,136,77,0,8,1064.2230932712555,"{""MOTION_RELINK_VELOCITY_WEIGHT"": 0.6}"
dcgap035,0.9261596977188709,0.2857142857142857,0.9547311262902994,4,2,8,63,182854,5536,136,79,0,8,1057.170791387558,"{""DEEPCENTER_GAP_THRESHOLD"": 0.35}"
gap45,0.9261579112464079,0.2857142857142857,0.9547293398178365,4,2,8,63,182878,5536,136,79,0,8,1045.6264991760254,"{""GAP_CLOSE_UM"": 4.5}"
bonus125,0.9261501544174587,0.2857142857142857,0.9547215829888873,4,2,8,63,182937,5536,136,79,0,8,1070.8862872123718,"{""MOTION_RELINK_LEARNED_BONUS"": 1.25}"
rp-ep50,0.9261417457282832,0.2857142857142857,0.9547131742997118,4,2,8,63,182940,5536,136,79,0,8,1137.7936942577362,"{""REPARENT_EDGE_PROB"": 0.5}"
base,0.9261416871541029,0.2857142857142857,0.9547131157255315,4,2,8,63,182941,5536,136,79,0,8,1075.2399263381958,{}
gap2step40,0.9261416871541029,0.2857142857142857,0.9547131157255315,4,2,8,63,182941,5536,136,79,0,8,1068.9096562862396,"{""GAP2_MAX_STEP_UM"": 4.0}"
reuse28,0.9261416871541029,0.2857142857142857,0.9547131157255315,4,2,8,63,182941,5536,136,79,0,8,1069.6568448543549,"{""GAP_CLOSE_REUSE_UM"": 2.8}"
gap2step48,0.9261416871541029,0.2857142857142857,0.9547131157255315,4,2,8,63,182941,5536,136,79,0,8,1062.0305473804474,"{""GAP2_MAX_STEP_UM"": 4.8}"
rp-tau08,0.9261358231931083,0.2857142857142857,0.9547072517645369,4,2,8,63,182951,5536,136,79,0,8,1062.9370028972626,"{""REPARENT_TAU"": 0.8}"
minlen5,0.9249043076035963,0.2857142857142857,0.9534757361750249,4,2,8,61,185439,5536,138,77,0,8,1068.1825461387634,"{""OUTPUT_MIN_TRACK_LEN"": 5}"
rp-ep75-tau06,0.926141424955306,0.26666666666666666,0.9528080916219727,4,3,8,63,182932,5536,136,79,0,8,2722.2669880390167,"{""REPARENT_EDGE_PROB"": 0.75, ""REPARENT_TAU"": 0.6}"
rp-ep75,0.9257260420023182,0.25,0.9507260420023183,4,4,8,63,182885,5535,137,79,0,8,2753.2666211128235,"{""REPARENT_EDGE_PROB"": 0.75}"
rp-ep75-pdiv75,0.9257054430356583,0.25,0.9507054430356583,4,4,8,63,182894,5535,137,79,0,8,2769.5812644958496,"{""REPARENT_EDGE_PROB"": 0.75, ""REPARENT_MIN_PDIV"": 0.75}"
rp-off,0.9259602299143423,0.23076923076923078,0.9490371529912655,3,1,9,63,182969,5535,137,79,0,8,433.6092965602875,"{""REPARENT_ENABLE"": false}"
