dataset,raw_nodes,nodes,raw_edges,edges,division_like_sources,edge_to_node_ratio,gap_added_nodes_frac,dropped_nonconsecutive_edges,dropped_long_edges,dropped_multi_parent_edges,dropped_multi_child_edges,dropped_division_edges,gap_candidates,gap_pairs_selected,gap_reused_existing,gap_inserted_synthetic,gap_added_nodes,gap_added_edges,gap_skipped_node_cap,gap_density_nodes_scored,gap_density_candidates_expanded,gap_density_candidates_restricted,gap_density_selected_outside_base,gap_density_step_delta_milli_sum,gap_refined_synthetic,gap_refine_failed,gap_refine_rejected_shift,pruned_isolated_nodes,motion_relink_edges,motion_relink_tight_edges,motion_relink_relaxed_edges,motion_relink_frames,motion_relink_replaced_raw_edges,motion_relink_fallback_raw,motion_relink_skipped_large_frame,gap2_candidates,gap2_pairs_selected,gap2_added_nodes,gap2_added_edges,gap2_skipped_cap,safe_division_candidates,safe_division_geometric_candidates,safe_divisions_added,safe_division_skipped_cap,safe_division_mutual_nn_rejected,safe_division_divergence_rejected,safe_division_symmetry_rejected,deepcenter_gap_checked,deepcenter_gap_bypassed_strong_motion,deepcenter_gap_bypassed_observed_node,deepcenter_gap_accepted,deepcenter_gap_rejected,deepcenter_gap_missing,deepcenter_safe_div_checked,deepcenter_safe_div_accepted,deepcenter_safe_div_rejected,deepcenter_safe_div_missing,short_track_components_removed,short_track_nodes_removed,short_track_edges_removed,short_track_filter_skipped_all,short_track_rescue_triggered,short_track_rescue_components,short_track_rescue_nodes,short_track_rescue_budget,linefit_smoothed_nodes,linefit_skipped_nodes,gap_close_effective_max_gap,predict_minutes_total,experiment_tag
44b6_0113de3b,25491,25290,24666,24604,44,0.9728746540134441,0.001961476599584167,0,3,0,0,0,56,50,0,50,50,100,0,24145,0,0,0,605689,70,0,0,6,24600,24015,585,99,24663,0,0,11,10,20,30,0,59,167,44,0,56,535,37,4,46,0,4,0,0,167,96,71,0,61,265,204,0,0,0,0,0,25285,5,1,9.901755638917287,edge_feature_tta_0946
44b6_0b24845f,24223,22580,21778,21179,16,0.9379539415411869,0.010114354126243653,0,2,0,0,0,362,245,0,245,245,490,0,23544,23,0,14,5070005,450,0,0,11,22024,21081,943,99,21776,0,0,189,76,152,228,0,18,265,16,0,71,981,22,59,239,0,6,53,0,265,40,225,0,464,2029,1565,0,0,0,0,0,22576,4,1,9.901755638917287,edge_feature_tta_0946
6bba_05b6850b,6231,6086,5953,5898,5,0.9691094314820901,0.0030492697801316002,0,4,0,0,0,22,19,0,19,19,38,0,4858,0,0,0,51151,32,0,0,1,5967,5778,189,99,5949,0,0,6,6,12,18,0,5,17,5,0,4,80,8,2,18,0,1,1,0,17,13,4,0,41,175,134,0,0,0,0,0,6086,0,1,9.901755638917287,edge_feature_tta_0946
6bba_05db0fb1,69915,69529,66479,67211,27,0.9666613930877763,0.004705714081384539,0,1,0,0,0,464,329,0,329,329,658,0,66706,12,0,6,4540786,496,0,0,33,67158,65422,1736,99,66478,0,0,189,63,126,189,0,30,314,27,0,251,2656,34,46,324,0,5,41,0,314,64,250,0,191,808,617,0,0,0,0,0,69527,2,1,9.901755638917287,edge_feature_tta_0946
