adjusted_edge_jaccard,apply_rlf,config,div_fn,div_fp,div_jaccard,div_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,edges_fragmented,edges_lost_to_detection,edges_recovered,missed_gt_nodes,safe_divisions_added,spurious_pred_nodes,stem,t_pred,t_true,tight_override,veto_mode,weight,wrong_association_edges
0.9412404322671003,False,tight_70,1,0,0.0,0,28,37,0.9197530864197531,745,21,7,745,5,24,44182,44b6_12dfb391,44965,58672.0,7.0,0,810,0
0.7716246600541267,False,tight_70,0,1,0.5,1,29,39,0.7848101265822784,248,19,10,248,6,28,22070,44b6_267148e4,22344,19130.0,7.0,0,316,0
0.8818077446530264,False,tight_70,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,38,39933,44b6_2a2eff9f,40147,56367.0,7.0,0,231,0
0.9774175677101697,False,tight_70,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,11,8199,44b6_341df25f,8413,7436.0,7.0,0,209,0
0.98411192655507,False,tight_70,0,1,0.5,1,10,7,0.9812154696132597,888,4,6,888,6,6,4928,6bba_062c8d37,5852,6030.0,7.0,0,905,0
0.8225805158143573,False,tight_70,2,0,0.0,0,37,16,0.853185595567867,308,5,32,308,26,6,28859,6bba_07e24132,29192,21485.0,7.0,0,361,0
0.9951221960651242,False,tight_70,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7103,6bba_085bf656,8296,8463.0,7.0,0,1170,0
0.9024230158244287,False,tight_70,4,1,0.0,0,84,118,0.8984414278531926,1787,67,17,1787,13,24,27801,6bba_09961292,29738,31117.0,7.0,0,1989,0
0.9471970557943864,True,rlf_only,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,24,44173,44b6_12dfb391,44955,58672.0,,0,806,0
0.8191175134755299,True,rlf_only,0,0,1.0,1,23,28,0.8327868852459016,254,15,8,254,5,29,21995,44b6_267148e4,22270,19130.0,,0,305,0
0.8818488021106574,True,rlf_only,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,40,39906,44b6_2a2eff9f,40120,56367.0,,0,231,0
0.9774175677101697,True,rlf_only,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,11,8199,44b6_341df25f,8413,7436.0,,0,209,0
0.9829224228764097,True,rlf_only,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,5,4933,6bba_062c8d37,5857,6030.0,,0,905,0
0.8154238814830771,True,rlf_only,2,0,0.0,0,38,18,0.8457300275482094,307,6,32,307,26,7,28851,6bba_07e24132,29184,21485.0,,0,363,0
0.9951691374520159,True,rlf_only,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7099,6bba_085bf656,8292,8463.0,,0,1170,0
0.8952613288605982,True,rlf_only,4,0,0.0,0,91,126,0.8913370055082624,1780,74,17,1780,13,25,27810,6bba_09961292,29747,31117.0,,0,1997,0
0.9471970557943864,False,veto1,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,24,44173,44b6_12dfb391,44955,58672.0,,1,806,0
0.8185764987481773,False,veto1,0,0,1.0,1,24,27,0.8322368421052632,253,16,8,253,5,29,21995,44b6_267148e4,22270,19130.0,,1,304,0
0.8773950202818158,False,veto1,0,1,0.5,1,13,21,0.8528138528138528,197,13,0,197,0,40,39906,44b6_2a2eff9f,40120,56367.0,,1,231,0
0.9774175677101697,False,veto1,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,11,8199,44b6_341df25f,8413,7436.0,,1,209,0
0.9829224228764097,False,veto1,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,5,4933,6bba_062c8d37,5857,6030.0,,1,905,0
0.8199414653140084,False,veto1,2,0,0.0,0,38,16,0.850415512465374,307,6,32,307,26,7,28851,6bba_07e24132,29184,21485.0,,1,361,0
0.9951691374520159,False,veto1,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7099,6bba_085bf656,8292,8463.0,,1,1170,0
0.9001674916859251,False,veto1,4,0,0.0,0,92,114,0.8962216624685139,1779,75,17,1779,13,25,27810,6bba_09961292,29747,31117.0,,1,1985,0
0.9471970557943864,False,veto2,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,24,44173,44b6_12dfb391,44955,58672.0,,2,806,0
0.8153410185159711,False,veto2,1,0,0.0,0,25,27,0.8289473684210527,252,17,8,252,5,29,21995,44b6_267148e4,22270,19130.0,,2,304,0
0.8773950202818158,False,veto2,0,1,0.5,1,13,21,0.8528138528138528,197,13,0,197,0,40,39906,44b6_2a2eff9f,40120,56367.0,,2,231,0
0.9774175677101697,False,veto2,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,11,8199,44b6_341df25f,8413,7436.0,,2,209,0
0.9829224228764097,False,veto2,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,5,4933,6bba_062c8d37,5857,6030.0,,2,905,0
0.8199414653140084,False,veto2,2,0,0.0,0,38,16,0.850415512465374,307,6,32,307,26,7,28851,6bba_07e24132,29184,21485.0,,2,361,0
0.9951691374520159,False,veto2,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7099,6bba_085bf656,8292,8463.0,,2,1170,0
0.9001674916859251,False,veto2,4,0,0.0,0,92,114,0.8962216624685139,1779,75,17,1779,13,25,27810,6bba_09961292,29747,31117.0,,2,1985,0
0.9471970557943864,True,veto2rlf,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,24,44173,44b6_12dfb391,44955,58672.0,,2,806,0
0.8153410185159711,True,veto2rlf,1,0,0.0,0,25,27,0.8289473684210527,252,17,8,252,5,29,21995,44b6_267148e4,22270,19130.0,,2,304,0
0.8773950202818158,True,veto2rlf,0,1,0.5,1,13,21,0.8528138528138528,197,13,0,197,0,40,39906,44b6_2a2eff9f,40120,56367.0,,2,231,0
0.9774175677101697,True,veto2rlf,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,11,8199,44b6_341df25f,8413,7436.0,,2,209,0
0.9829224228764097,True,veto2rlf,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,5,4933,6bba_062c8d37,5857,6030.0,,2,905,0
0.8199414653140084,True,veto2rlf,2,0,0.0,0,38,16,0.850415512465374,307,6,32,307,26,7,28851,6bba_07e24132,29184,21485.0,,2,361,0
0.9951691374520159,True,veto2rlf,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7099,6bba_085bf656,8292,8463.0,,2,1170,0
0.9001674916859251,True,veto2rlf,4,0,0.0,0,92,114,0.8962216624685139,1779,75,17,1779,13,25,27810,6bba_09961292,29747,31117.0,,2,1985,0
