config,adjusted_edge_jaccard,division_jaccard,proxy_score,div_tp,div_fp,div_fn,missed_gt_nodes,spurious_pred_nodes,edges_recovered,edges_fragmented,edges_lost_to_detection,wrong_association_edges,n_samples,seconds,overrides
tight55,0.9280215351028117,0.23076923076923078,0.9510984581797348,3,1,9,63,182968,5539,133,79,0,8,440.16719102859497,"{""MOTION_RELINK_TIGHT_UM"": 5.5}"
dcgap035,0.9259821956469625,0.23076923076923078,0.9490591187238856,3,1,9,63,182874,5535,137,79,0,8,444.6940243244171,"{""DEEPCENTER_GAP_THRESHOLD"": 0.35}"
gap45,0.9259800240697922,0.23076923076923078,0.9490569471467153,3,1,9,63,182899,5535,137,79,0,8,419.44616746902466,"{""GAP_CLOSE_UM"": 4.5}"
bonus125,0.9259727135347339,0.23076923076923078,0.949049636611657,3,1,9,63,182956,5535,137,79,0,8,439.77713441848755,"{""MOTION_RELINK_LEARNED_BONUS"": 1.25}"
base,0.9259642576030591,0.23076923076923078,0.9490411806799822,3,1,9,63,182960,5535,137,79,0,8,436.4252634048462,{}
gap2step40,0.9259642576030591,0.23076923076923078,0.9490411806799822,3,1,9,63,182960,5535,137,79,0,8,438.6579008102417,"{""GAP2_MAX_STEP_UM"": 4.0}"
reuse28,0.9259642576030591,0.23076923076923078,0.9490411806799822,3,1,9,63,182960,5535,137,79,0,8,447.36922574043274,"{""GAP_CLOSE_REUSE_UM"": 2.8}"
relaxed9,0.9266243570008986,0.21428571428571427,0.9480529284294701,3,2,9,66,182917,5532,137,82,0,8,441.10687279701233,"{""MOTION_RELINK_RELAXED_UM"": 9.0}"
