epoch,recorded_at_utc,edge_loss,det_loss,validation_loss,validation_acc,validation_recall,validation_score,best_score,is_best,train_seconds,validation_seconds,base_seed,effective_seed,fold
1,2026-07-10T23:18:38Z,0.003970155237044959,0.019809366372963207,0.0003694080726243065,0.999604616216187,0.9007153696076307,0.9003592413566567,0.9003592413566567,1,1271.9301432268694,21.873645413666964,314159,314159,0
2,2026-07-10T23:40:55Z,0.000595206987803735,0.014496386452243604,0.00024382018063102918,0.9997675480562573,0.9190331671363537,0.9188195360902889,0.9188195360902889,1,1312.7214971929789,23.463377975858748,314159,314159,0
3,2026-07-11T00:03:25Z,0.0004892044158756923,0.013420707205846247,0.0002156452201473058,0.9998032742685878,0.9267288098851073,0.926546498482162,0.926546498482162,1,1326.6798504590988,23.656262180767953,314159,314159,0
4,2026-07-11T00:25:56Z,0.000461819176617267,0.01289986426486371,0.0001876263290209934,0.9997972391605252,0.9301972685887708,0.9300086610097146,0.9300086610097146,1,1326.1068855272606,24.368385709822178,314159,314159,0
5,2026-07-11T00:48:20Z,0.0004209152861927839,0.012401787006171406,0.00019102266393353218,0.9998229492638985,0.9334489486234554,0.9332836807999885,0.9332836807999885,1,1319.0557483164594,24.899456293322146,314159,314159,0
6,2026-07-11T01:10:32Z,0.00041791275823402455,0.011659387403109088,0.0002230406146231323,0.9997897888805071,0.9280294818989812,0.9278343997826687,0.9332836807999885,0,1309.0086577935144,22.681031697429717,314159,314159,0
7,2026-07-11T01:32:26Z,0.00040241802368679887,0.011231165890873494,0.00020888447319962643,0.9997815470679807,0.9307392152612183,0.9305358925506991,0.9332836807999885,0,1290.8168394742534,23.030247502028942,314159,314159,0
8,2026-07-11T01:54:28Z,0.00040258905593486646,0.011057300197698676,0.00022408113232337047,0.9997962227893238,0.9266204205506178,0.9264315964259624,0.9332836807999885,0,1298.971397664398,22.413980963639915,314159,314159,0
9,2026-07-11T02:16:15Z,0.0003900436265958526,0.010591247663255947,0.00019860845876504385,0.9998047759403671,0.9064600043355734,0.9062830415336321,0.9332836807999885,0,1284.4774822238833,22.09398877993226,314159,314159,0
10,2026-07-11T02:38:01Z,0.0003882967168306568,0.010313006421377759,0.00020159650010418862,0.9998089827376904,0.9274875352265337,0.9273103690967285,0.9332836807999885,0,1283.9420642564073,22.356270886957645,314159,314159,0
11,2026-07-11T02:59:38Z,0.00039954940100160233,0.009970874485231233,0.00019034324844592555,0.9998148083233076,0.9301972685887708,0.9300250037969462,0.9332836807999885,0,1273.8422503173351,22.825893515720963,314159,314159,0
12,2026-07-11T03:21:07Z,0.0003885871561255904,0.009769901093994653,0.00020431213561606043,0.9997931693201481,0.9330153912854975,0.9328224150778056,0.9332836807999885,0,1266.9715107986704,21.902763845399022,314159,314159,0
13,2026-07-11T03:42:38Z,0.0003855106124664419,0.009644477879634015,0.0001935689493474335,0.9998258959362922,0.921742900498591,0.9215824213139204,0.9332836807999885,0,1268.2247743979096,22.00230449344963,314159,314159,0
14,2026-07-11T04:04:02Z,0.00037137936234348776,0.009176574806687893,0.00019983066827677475,0.9998042200813987,0.9280294818989812,0.9278477923625553,0.9332836807999885,0,1261.3642078833655,22.27083359938115,314159,314159,0
15,2026-07-11T04:25:32Z,0.00039506217329807186,0.00910816378165607,0.00021423410168520008,0.9998044250768002,0.9348580099718188,0.9346751751883159,0.9346751751883159,1,1268.1340539045632,22.267387588508427,314159,314159,0
16,2026-07-11T04:46:51Z,0.00038482508394817793,0.008905061056767045,0.00019294759912950266,0.9998093058733791,0.9318231086061132,0.9316454154122524,0.9346751751883159,0,1256.4417007043958,22.138801377266645,314159,314159,0
17,2026-07-11T05:08:25Z,0.0003593509383962573,0.008812122357703641,0.0002057888343522707,0.9998118264113579,0.928679817905918,0.9285050648918832,0.9346751751883159,0,1271.743432726711,21.956955443136394,314159,314159,0
18,2026-07-11T05:29:51Z,0.000349775588239349,0.008502826306610676,0.000202393279178108,0.999803888439676,0.9423368740515933,0.9421520708968723,0.9421520708968723,1,1263.8142133448273,22.15546382404864,314159,314159,0
19,2026-07-11T05:51:15Z,0.000357326817873994,0.008467335059793564,0.00021560867071174884,0.999800457764847,0.9323650552785606,0.9321790090714518,0.9421520708968723,0,1261.5510038193315,22.016342904418707,314159,314159,0
20,2026-07-11T06:12:29Z,0.00035434633068227807,0.008291662907821407,0.0002162097035607119,0.9998072867116983,0.9388684153479298,0.9386874829283254,0.9421520708968723,0,1250.8324602916837,22.287648684345186,314159,314159,0
21,2026-07-11T06:33:43Z,0.0003595442651720098,0.008289148477337506,0.00020073232137528317,0.9998114627176252,0.9334489486234554,0.9332729586954464,0.9421520708968723,0,1252.4695517187938,21.733091690577567,314159,314159,0
22,2026-07-11T06:54:51Z,0.0003526354261109914,0.008021114322254273,0.00018704538167337414,0.9998098837299075,0.9385432473444613,0.9383648150029557,0.9421520708968723,0,1246.0044696889818,21.983320564962924,314159,314159,0
23,2026-07-11T07:16:10Z,0.00033936219273000075,0.00792734571904089,0.0001984822541067044,0.9998091065213377,0.9428788207240407,0.9426988313059957,0.9426988313059957,1,1256.3537308499217,22.367634230293334,314159,314159,0
