config,adjusted_edge_jaccard,division_jaccard,proxy_score,div_tp,div_fp,div_fn,missed_gt_nodes,spurious_pred_nodes,edges_recovered,edges_fragmented,edges_lost_to_detection,wrong_association_edges,n_samples,seconds,overrides
ppTight5565fb,0.9286647911383695,0.3076923076923077,0.9594340219076003,4,1,8,63,182966,5541,131,79,0,8,1063.8714957237244,"{""MOTION_RELINK_TIGHT_PER_PREFIX"": {""44b6"": 5.5, ""6bba"": 6.5}, ""MOTION_RELINK_TIGHT_UM"": 5.5}"
base,0.9261416871541029,0.2857142857142857,0.9547131157255315,4,2,8,63,182941,5536,136,79,0,8,1047.9378848075867,{}
