dataset,raw_nodes,nodes,raw_edges,edges,division_like_sources,edge_to_node_ratio,gap_added_nodes_frac,dropped_nonconsecutive_edges,dropped_long_edges,dropped_multi_parent_edges,dropped_multi_child_edges,dropped_division_edges,gap_candidates,gap_pairs_selected,gap_reused_existing,gap_inserted_synthetic,gap_added_nodes,gap_added_edges,gap_skipped_node_cap,gap_density_nodes_scored,gap_density_candidates_expanded,gap_density_candidates_restricted,gap_density_selected_outside_base,gap_density_step_delta_milli_sum,gap_refined_synthetic,gap_refine_failed,gap_refine_rejected_shift,pruned_isolated_nodes,motion_relink_edges,motion_relink_tight_edges,motion_relink_relaxed_edges,motion_relink_frames,motion_relink_replaced_raw_edges,motion_relink_fallback_raw,motion_relink_skipped_large_frame,gap2_candidates,gap2_pairs_selected,gap2_added_nodes,gap2_added_edges,gap2_skipped_cap,safe_division_candidates,safe_division_geometric_candidates,safe_divisions_added,safe_division_skipped_cap,safe_division_mutual_nn_rejected,safe_division_divergence_rejected,safe_division_symmetry_rejected,deepcenter_gap_checked,deepcenter_gap_bypassed_strong_motion,deepcenter_gap_bypassed_observed_node,deepcenter_gap_accepted,deepcenter_gap_rejected,deepcenter_gap_missing,deepcenter_safe_div_checked,deepcenter_safe_div_accepted,deepcenter_safe_div_rejected,deepcenter_safe_div_missing,short_track_components_removed,short_track_nodes_removed,short_track_edges_removed,short_track_filter_skipped_all,short_track_rescue_triggered,short_track_rescue_components,short_track_rescue_nodes,short_track_rescue_budget,linefit_smoothed_nodes,linefit_skipped_nodes,gap_close_effective_max_gap,predict_minutes_total,experiment_tag
44b6_0113de3b,25822,25648,24999,24940,46,0.9723955084217093,0.0017427000232360004,0,3,0,0,0,51,45,0,45,45,90,0,24703,0,0,0,538155,63,0,0,5,24957,24139,818,99,24996,0,0,11,9,18,27,0,53,175,46,0,66,538,39,4,41,0,4,0,0,175,92,83,0,52,232,180,0,0,0,0,0,25643,5,1,8.91793645620346,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:base
44b6_0b24845f,22491,20737,20145,19449,14,0.937888797801032,0.010537548352674403,0,2,0,0,0,338,237,0,237,237,474,0,21812,11,0,7,4584856,438,0,0,10,20384,19236,1148,99,20143,0,0,187,74,148,222,0,18,229,14,0,51,908,18,58,232,0,5,53,0,229,36,193,0,484,2129,1645,0,0,0,0,0,20734,3,1,8.91793645620346,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:base
6bba_05b6850b,6305,6152,6015,5956,9,0.9681404421326398,0.003013481363996828,0,3,0,0,0,21,19,0,19,19,38,0,4979,0,0,0,50339,33,0,0,1,6031,5826,205,99,6012,0,0,8,6,12,18,0,9,23,9,0,5,82,10,2,19,0,0,2,0,23,19,4,0,43,183,140,0,0,0,0,0,6152,0,1,8.91793645620346,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:base
6bba_05db0fb1,70687,70284,67239,68196,27,0.9702919583404473,0.00437138370563187,0,1,0,0,0,429,309,0,309,309,618,0,68121,13,0,10,4015673,469,0,0,27,67990,65845,2145,99,67238,0,0,172,59,118,177,0,31,304,27,0,256,2642,30,51,300,0,9,42,0,304,61,243,0,187,803,616,0,0,0,0,0,70284,0,1,8.91793645620346,selected_101_dual_seed_near_balanced_center_confirmed_synthetic_gap:base
