config,adjusted_edge_jaccard,division_jaccard,proxy_score,div_tp,div_fp,div_fn,seconds
base,0.9259552454763199,0.23076923076923078,0.949032168553243,3,1,9,661.7
tight50,0.926627291120194,0.21428571428571427,0.9480558625487655,3,2,9,652.7
tight55,0.928013372629706,0.23076923076923078,0.9510902957066291,3,1,9,662.0
tight65,0.926755875508008,0.23076923076923078,0.9498327985849311,3,1,9,647.6
relaxed8,0.9253561274710762,0.2857142857142857,0.9539275560425048,4,2,8,645.8
relaxed11,0.9257045301170582,0.23076923076923078,0.9487814531939813,3,1,9,723.4
bonus110,0.9259575905581598,0.23076923076923078,0.949034513635083,3,1,9,631.7
bonus135,0.9259638138908619,0.23076923076923078,0.949040736967785,3,1,9,657.3
vw040,0.9259684620977522,0.23076923076923078,0.9490453851746753,3,1,9,702.6
vw060,0.926443497379913,0.23076923076923078,0.9495204204568362,3,1,9,669.7
gap55,0.9257829097821914,0.23076923076923078,0.9488598328591145,3,1,9,645.0
reuse36,0.9259552454763199,0.23076923076923078,0.949032168553243,3,1,9,639.8
gap2step48,0.9259552454763199,0.23076923076923078,0.949032168553243,3,1,9,648.3
minlen5,0.9247244320848866,0.23076923076923078,0.9478013551618097,3,1,9,702.1
minlen7,0.9258785954675136,0.23076923076923078,0.9489555185444367,3,1,9,642.9
rescue085,0.9259552454763199,0.23076923076923078,0.949032168553243,3,1,9,646.7
edgemax13,0.9259552454763199,0.23076923076923078,0.949032168553243,3,1,9,693.2
dcgap030,0.9259655810429261,0.23076923076923078,0.9490425041198493,3,1,9,650.9
dcgap040,0.9259795368523612,0.23076923076923078,0.9490564599292843,3,1,9,688.7
pp-tight-55-65,0.9283293498653157,0.23076923076923078,0.9514062729422388,3,1,9,705.9
pp-tight-50-60,0.9266067711171591,0.23076923076923078,0.9496836941940822,3,1,9,714.3
